date,COD_mod
2025-01-01,761
2025-01-01,762
2025-01-01,763
2025-01-01,975
2025-01-01,982
2025-01-01,983
2025-01-01,2220
2025-01-01,2221
2025-01-01,2222
2025-01-01,2223
2025-01-03,2220
2025-01-03,2221
2025-01-03,2222
2025-01-03,2223
2025-01-12,662
2025-01-15,1783
2025-01-15,1794
2025-01-15,1795
2025-01-15,1801
2025-01-15,1802
2025-01-15,1819
2025-01-15,1820
2025-03-18,114
2025-03-18,115
2025-03-18,116
2025-03-18,117
2025-03-18,118
2025-03-18,121
2025-03-18,122
2025-03-18,123
2025-03-18,124
2025-03-18,239
2025-03-18,240
2025-03-18,241
2025-03-18,242
2025-03-18,243
2025-03-18,247
2025-03-18,248
2025-03-18,249
2025-03-18,250
2025-03-18,253
2025-03-18,254
2025-03-18,255
2025-03-18,256
2025-03-18,568
2025-03-18,569
2025-03-18,570
2025-03-18,571
2025-03-18,572
2025-03-18,573
2025-03-18,574
2025-03-18,576
2025-03-18,577
2025-03-18,578
2025-03-18,579
2025-03-18,580
2025-03-18,581
2025-03-18,583
2025-03-18,584
2025-03-18,585
2025-03-18,921
2025-03-18,922
2025-03-18,952
2025-03-18,953
2025-03-18,954
2025-03-18,1768
2025-03-20,37
2025-03-20,38
2025-03-20,39
2025-03-20,41
2025-03-20,42
2025-03-20,220
2025-03-20,221
2025-03-20,2280
2025-03-21,974
2025-03-21,978
2025-03-21,979
2025-03-21,980
2025-03-21,982
2025-03-21,1742
2025-03-21,1743
2025-03-23,2364
2025-03-23,2366
2025-03-23,2367
2025-03-23,2368
2025-03-23,2369
2025-03-23,2370
2025-03-23,2371
2025-03-23,2372
2025-03-23,2373
2025-03-24,577
2025-03-24,578
2025-03-24,754
2025-03-24,755
2025-03-24,756
2025-03-24,1765
2025-03-24,1767
2025-03-24,1768
2025-03-24,1769
2025-03-24,1770
2025-03-24,1771
2025-03-24,1772
2025-03-24,1774
2025-03-24,1778
2025-03-24,1782
2025-03-24,1784
2025-03-24,1785
2025-03-26,627
2025-03-26,633
2025-03-26,634
